,0,1,2,3
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,dolphin,,,
24,dolphin,,,
25,dolphin,,,
26,dolphin,,,
27,dolphin,,,
28,dolphin,,,
29,dolphin,,,
30,dolphin,,,
31,dolphin,,,
32,dolphin,,,
33,dolphin,,,
34,dolphin,,,
35,dolphin,,,
36,dolphin,,,
37,dolphin,,,
38,dolphin,,,
39,dolphin,,,
40,dolphin,,,
41,dolphin,,,
42,dolphin,,,
43,dolphin,,,
44,dolphin,,,
45,dolphin,,,
46,dolphin,,,
47,dolphin,,,
48,dolphin,,,
49,dolphin,,,
50,dolphin,,,
51,dolphin,fish,,
52,dolphin,fish,,
53,dolphin,,,
54,dolphin,,,
55,dolphin,fish,,
56,dolphin,fish,,
57,dolphin,fish,,
58,dolphin,fish,,
59,dolphin,fish,,
60,dolphin,fish,,
61,dolphin,fish,,
62,dolphin,,,
63,dolphin,,,
64,dolphin,fish,,
65,dolphin,fish,,
66,dolphin,fish,,
67,dolphin,fish,,
68,dolphin,fish,,
69,dolphin,fish,,
70,dolphin,,,
71,dolphin,,,
72,dolphin,,,
73,dolphin,,,
74,dolphin,,,
75,dolphin,,,
76,dolphin,,,
77,dolphin,,,
78,dolphin,,,
79,dolphin,,,
80,dolphin,,,
81,dolphin,,,
82,dolphin,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,insect,,,
88,,,,
89,,,,
90,frog,tongue,,
91,frog,tongue,,
92,bird,,,
93,bird,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,cheetah,,,
111,cheetah,,,
112,head,,,
113,head,,,
114,cheetah,,,
115,cheetah,,,
116,cheetah,head,,
117,head,,,
118,cheetah,,,
119,cheetah,,,
120,,,,
121,cheetah,,,
122,cheetah,,,
123,cheetah,,,
124,cheetah,,,
125,cheetah,,,
126,cheetah,,,
127,cheetah,,,
128,cheetah,,,
129,cheetah,,,
130,cheetah,,,
131,cheetah,,,
132,cheetah,,,
133,cheetah,,,
134,cheetah,,,
135,cheetah,,,
136,cheetah,,,
137,cheetah,,,
138,cheetah,,,
139,ostrich,,,
140,ostrich,,,
141,ostrich,,,
142,ostrich,,,
143,ostrich,,,
144,ostrich,,,
145,ostrich,,,
146,ostrich,,,
147,ostrich,,,
148,ostrich,,,
149,ostrich,,,
150,cheetah,,,
151,cheetah,,,
152,cheetah,,,
153,ostrich,,,
154,ostrich,,,
155,cheetah,head,eyes,
156,ostrich,head,eyes,
157,ostrich,head,eyes,
